subject,list,trial_type,position,item,item_index,cycle,story_index,story_name,time_test
0,0,study,1,One fine day an old Maine man was fishing ,0,0,0,Fisherman,1
0,0,study,2,on his favorite lake ,1,0,0,Fisherman,1
0,0,study,3,and catching very little,2,0,0,Fisherman,1
0,0,study,4,"Finally, he gave up",3,1,0,Fisherman,1
0,0,study,5,and walked back along the shore to his fishing shack,4,1,0,Fisherman,1
0,0,study,6,"When he got close to the front door, he saw it was open.",5,2,0,Fisherman,1
0,0,study,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",6,3,0,Fisherman,1
0,0,study,8,There was a big black bear,7,4,0,Fisherman,1
0,0,study,9,It was just pulling the cork out of his molasses jug with its teeth,8,5,0,Fisherman,1
0,0,study,10,The molasses spilled all over the floor,9,6,0,Fisherman,1
0,0,study,11,"and the bear rubbed his paw in it, smearing it all over",10,6,0,Fisherman,1
0,0,study,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",11,7,0,Fisherman,1
0,0,study,13,Standing on its hind legs,12,8,0,Fisherman,1
0,0,study,14,it held up the paw full of molasses,13,8,0,Fisherman,1
0,0,study,15,Soon all the flies and bugs and mosquitoes were swarming,14,9,0,Fisherman,1
0,0,study,16,all over the sticky sweet paw,15,9,0,Fisherman,1
0,0,study,17,Then the bear waded into the water,16,10,0,Fisherman,1
0,0,study,18,with his sticky paw full of bugs,17,10,0,Fisherman,1
0,0,study,19,It held the paw out over the water,18,11,0,Fisherman,1
0,0,study,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",19,12,0,Fisherman,1
0,0,study,21,The bear gave it a swat and it flew to the shore and flopped there,20,13,0,Fisherman,1
0,0,study,22,"Then another fish jumped into the air after the flies, followed swiftly by another",21,14,0,Fisherman,1
0,0,study,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",22,15,0,Fisherman,1
0,0,study,24,Soon it had a large pile,23,16,0,Fisherman,1
0,0,study,25,The old man had caught nothing,24,17,0,Fisherman,1
0,0,study,26,He watched that bear eat half a dozen trout,25,18,0,Fisherman,1
0,0,study,27,his stomach rumbling,26,18,0,Fisherman,1
0,0,study,28,All he had for dinner was some bread and what was left of the molasses,27,19,0,Fisherman,1
0,0,study,29,Finally the bear paused in his eating,28,20,0,Fisherman,1
0,0,study,30,and looked over to the bushes where the old man was hidden,29,20,0,Fisherman,1
0,0,study,31,The bear stood up and laid the remaining fish in a row,30,21,0,Fisherman,1
0,0,study,32,Then it walked away up the shore,31,22,0,Fisherman,1
0,0,study,33,The old man crept out of the bushes and down to the shore,32,23,0,Fisherman,1
0,0,study,34,"Sure enough, the bear had left six large trout for him",33,24,0,Fisherman,1
0,0,study,35,He looked over at the bear,34,25,0,Fisherman,1
0,0,study,36,It was standing at the edge of the wood watching,35,26,0,Fisherman,1
0,0,study,37,"""Thanks a lot,"" the old man called to the bear",36,27,0,Fisherman,1
0,0,study,38,The bear waved the now-clean paw at the old man,37,28,0,Fisherman,1
0,0,study,39,and disappeared into the thicket,38,28,0,Fisherman,1
0,0,study,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",39,29,0,Fisherman,1
0,0,study,41,The old man never hunted bears again,40,30,0,Fisherman,1
0,0,recall,1,The old man never hunted bears again,-1,30,0,Fisherman,1
0,0,recall,2,on his favorite lake ,1,0,0,Fisherman,1
0,0,recall,3,"Finally, he gave up",3,1,0,Fisherman,1
0,0,recall,4,The molasses spilled all over the floor,9,6,0,Fisherman,1
0,0,recall,5,all over the sticky sweet paw,15,9,0,Fisherman,1
0,0,recall,6,with his sticky paw full of bugs,17,10,0,Fisherman,1
0,0,recall,7,"Suddenly, a big trout came jumping out of the water trying to get to the flies",19,12,0,Fisherman,1
0,0,recall,8,"Then another fish jumped into the air after the flies, followed swiftly by another",21,14,0,Fisherman,1
0,0,recall,12,He watched that bear eat half a dozen trout,25,18,0,Fisherman,1
0,0,recall,13,his stomach rumbling,26,18,0,Fisherman,1
0,0,recall,9,Finally the bear paused in his eating,28,20,0,Fisherman,1
0,0,recall,11,and looked over to the bushes where the old man was hidden,29,20,0,Fisherman,1
0,0,recall,10,The old man crept out of the bushes and down to the shore,32,23,0,Fisherman,1
0,0,recall,14,It was standing at the edge of the wood watching,35,26,0,Fisherman,1
0,0,recall,15,"""Thanks a lot,"" the old man called to the bear",36,27,0,Fisherman,1
0,0,recall,16,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",39,29,0,Fisherman,1
0,1,study,1,One fine day an old Maine man was fishing ,0,0,0,Fisherman,2
0,1,study,2,on his favorite lake ,1,0,0,Fisherman,2
0,1,study,3,and catching very little,2,0,0,Fisherman,2
0,1,study,4,"Finally, he gave up",3,1,0,Fisherman,2
0,1,study,5,and walked back along the shore to his fishing shack,4,1,0,Fisherman,2
0,1,study,6,"When he got close to the front door, he saw it was open.",5,2,0,Fisherman,2
0,1,study,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",6,3,0,Fisherman,2
0,1,study,8,There was a big black bear,7,4,0,Fisherman,2
0,1,study,9,It was just pulling the cork out of his molasses jug with its teeth,8,5,0,Fisherman,2
0,1,study,10,The molasses spilled all over the floor,9,6,0,Fisherman,2
0,1,study,11,"and the bear rubbed his paw in it, smearing it all over",10,6,0,Fisherman,2
0,1,study,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",11,7,0,Fisherman,2
0,1,study,13,Standing on its hind legs,12,8,0,Fisherman,2
0,1,study,14,it held up the paw full of molasses,13,8,0,Fisherman,2
0,1,study,15,Soon all the flies and bugs and mosquitoes were swarming,14,9,0,Fisherman,2
0,1,study,16,all over the sticky sweet paw,15,9,0,Fisherman,2
0,1,study,17,Then the bear waded into the water,16,10,0,Fisherman,2
0,1,study,18,with his sticky paw full of bugs,17,10,0,Fisherman,2
0,1,study,19,It held the paw out over the water,18,11,0,Fisherman,2
0,1,study,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",19,12,0,Fisherman,2
0,1,study,21,The bear gave it a swat and it flew to the shore and flopped there,20,13,0,Fisherman,2
0,1,study,22,"Then another fish jumped into the air after the flies, followed swiftly by another",21,14,0,Fisherman,2
0,1,study,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",22,15,0,Fisherman,2
0,1,study,24,Soon it had a large pile,23,16,0,Fisherman,2
0,1,study,25,The old man had caught nothing,24,17,0,Fisherman,2
0,1,study,26,He watched that bear eat half a dozen trout,25,18,0,Fisherman,2
0,1,study,27,his stomach rumbling,26,18,0,Fisherman,2
0,1,study,28,All he had for dinner was some bread and what was left of the molasses,27,19,0,Fisherman,2
0,1,study,29,Finally the bear paused in his eating,28,20,0,Fisherman,2
0,1,study,30,and looked over to the bushes where the old man was hidden,29,20,0,Fisherman,2
0,1,study,31,The bear stood up and laid the remaining fish in a row,30,21,0,Fisherman,2
0,1,study,32,Then it walked away up the shore,31,22,0,Fisherman,2
0,1,study,33,The old man crept out of the bushes and down to the shore,32,23,0,Fisherman,2
0,1,study,34,"Sure enough, the bear had left six large trout for him",33,24,0,Fisherman,2
0,1,study,35,He looked over at the bear,34,25,0,Fisherman,2
0,1,study,36,It was standing at the edge of the wood watching,35,26,0,Fisherman,2
0,1,study,37,"""Thanks a lot,"" the old man called to the bear",36,27,0,Fisherman,2
0,1,study,38,The bear waved the now-clean paw at the old man,37,28,0,Fisherman,2
0,1,study,39,and disappeared into the thicket,38,28,0,Fisherman,2
0,1,study,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",39,29,0,Fisherman,2
0,1,study,41,The old man never hunted bears again,40,30,0,Fisherman,2
0,1,recall,1,The old man never hunted bears again,-1,30,0,Fisherman,2
0,1,recall,2,One fine day an old Maine man was fishing ,0,0,0,Fisherman,2
0,1,recall,3,on his favorite lake ,1,0,0,Fisherman,2
0,1,recall,4,"Finally, he gave up",3,1,0,Fisherman,2
0,1,recall,5,and walked back along the shore to his fishing shack,4,1,0,Fisherman,2
0,1,recall,6,"When he got close to the front door, he saw it was open.",5,2,0,Fisherman,2
0,1,recall,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",6,3,0,Fisherman,2
0,1,recall,9,It was just pulling the cork out of his molasses jug with its teeth,8,5,0,Fisherman,2
0,1,recall,10,The molasses spilled all over the floor,9,6,0,Fisherman,2
0,1,recall,8,"and the bear rubbed his paw in it, smearing it all over",10,6,0,Fisherman,2
0,1,recall,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",11,7,0,Fisherman,2
0,1,recall,13,Standing on its hind legs,12,8,0,Fisherman,2
0,1,recall,14,it held up the paw full of molasses,13,8,0,Fisherman,2
0,1,recall,15,all over the sticky sweet paw,15,9,0,Fisherman,2
